compound_id,batch_id,target_name,canonical_smiles,ic50_um,pic50,max_inhibition_pct,r2_fit,hill_slope,curve_qc_pass,mw_da,clogp,assay_date
CMPD-2026-10085,B-02,EGFR,CN1CCN(CC1)Cc2ccc(cc2)C(=O)Nc3cccc(c3)C(F)(F)F,0.7905,6.1,100.0,0.817,0.55,False,316.4,2.19,2026-01-29
CMPD-2026-10086,B-03,SMARCA2,CC1CCN(CC1)c2ccc(cc2)Nc3ncc(c(n3)C4=CCCCCC4)F,39.6719,4.4,86.1,0.395,1.03,False,406.5,2.1,2026-05-25
CMPD-2026-10087,B-03,EGFR,c1ccc2c(c1)nc(s2)NC(=O)c3ccc(cc3)Cl,7.8433,5.11,82.9,0.55,0.69,False,269.3,2.36,2026-02-04
CMPD-2026-10088,B-03,EGFR,Cc1ccc(nc1)Nc2cc(nn2C)c3ccc(cc3)F,0.7316,6.14,75.9,0.762,0.85,False,446.9,3.16,2026-03-03
CMPD-2026-10089,B-01,EGFR,COc1cc2c(nc(nc2cc1OC)N3CCN(CC3)C(=O)C4CCCO4)N,13.0593,4.88,68.1,0.568,1.06,False,410.7,3.46,2026-02-01
CMPD-2026-10090,B-03,EGFR,c1ccc(cc1)C(=O)Nc2ccc(cc2)S(=O)(=O)N,4.1352,5.38,97.9,0.648,0.79,False,396.6,4.91,2026-06-16
CMPD-2026-10091,B-03,EGFR,c1ccc(cc1)CN2CCN(CC2)c3cccc(c3)Cl,45.9594,4.34,88.9,0.408,0.93,False,443.9,2.1,2026-02-01
CMPD-2026-10092,B-01,EGFR,c1ccc2c(c1)nc(s2)NC(=O)c3ccc(cc3)Cl,0.4545,6.34,72.5,0.82,1.35,False,488.3,4.28,2026-07-06
CMPD-2026-10093,B-03,EGFR,CC1CCN(CC1)c2ccc(cc2)Nc3ncc(c(n3)C4=CCCCCC4)F,1.2788,5.89,72.5,0.672,0.88,False,445.9,2.96,2026-03-16
CMPD-2026-10094,B-03,EGFR,CN1CCN(CC1)Cc2ccc(cc2)C(=O)Nc3cccc(c3)C(F)(F)F,1.0702,5.97,84.0,0.653,1.3,False,260.3,3.15,2026-04-28
CMPD-2026-10095,B-01,EGFR,c1ccc2c(c1)nc(s2)NC(=O)c3ccc(cc3)Cl,0.0554,7.26,100.0,0.99,0.71,True,296.8,3.94,2026-02-14
CMPD-2026-10096,B-01,SMARCA2,c1ccc2c(c1)nc(s2)NC(=O)c3ccc(cc3)Cl,7.1671,5.14,84.9,0.592,1.21,False,339.4,1.97,2026-06-09
CMPD-2026-10097,B-02,EGFR,Cc1ccc(nc1)Nc2cc(nn2C)c3ccc(cc3)F,6.5053,5.19,70.0,0.738,1.48,False,381.7,3.62,2026-03-19
CMPD-2026-10098,B-02,EGFR,CN1CCN(CC1)Cc2ccc(cc2)C(=O)Nc3cccc(c3)C(F)(F)F,3.2073,5.49,85.1,0.633,0.31,False,413.6,3.38,2026-06-12
CMPD-2026-10099,B-02,SMARCA2,c1ccc(cc1)C(=O)Nc2ccc(cc2)S(=O)(=O)N,1.6538,5.78,84.7,0.643,0.81,False,332.8,3.74,2026-06-16
